"Symbol","UNDERLYING ASSET","OPEN","HIGH","LOW","PREV. CLOSE","LTP","INDICATIVE CLOSE","CHNG","%CHNG","VOLUME","VALUE
 (₹ Crores)","NAV","52W H","52W L","30D  %CHNG","365 D","365 D % CHNG","30 D"
"GSEC10YEAR","Mirae Asset Nifty 8-13 yr G-Sec ETF","27.01","27.35","27.01","27.11","27.35","-","0.24","0.89","1,50,008","0.41","27.25","29.80","23.69",-0.22,"16-Nov-2023","9.01","16-Oct-2024"
"MOLOWVOL","Nifty Midcap 100 TRI","36.47","37.00","35.65","35.95","36.26","-","0.31","0.86","67,813","0.24","35.84","41.85","28.23",-8.72,"16-Nov-2023","21.32","16-Oct-2024"
"NEXT50IETF","Nifty Next 50","70.98","70.98","69.76","70.11","70.70","-","0.59","0.84","4,89,856","3.44","69.78","81.64","45.41",-10.71,"-","-","16-Oct-2024"
"JUNIORBEES","Nifty Next 50","738.65","738.65","705.35","717.16","723.00","-","5.84","0.81","2,70,469","19.49","714.96","830.00","473.85",-10.82,"16-Nov-2023","45.57","16-Oct-2024"
"NIF100BEES","Nifty 100 TRI","257.64","260.00","255.91","257.92","260.00","-","2.08","0.81","38,467","0.99","255.52","289.98","203.52",-6.21,"16-Nov-2023","24.02","16-Oct-2024"
"FINIETF","ICICI Prudential Nifty Financial Services Ex-Bank ETF","26.00","26.00","25.00","25.09","25.29","-","0.20","0.80","1,75,861","0.44","25.06","30.00","20.73",-7.88,"-","-","16-Oct-2024"
"NV20IETF","Nifty50 Value 20","15.24","15.56","15.07","15.17","15.29","-","0.12","0.79","8,93,298","1.35","15.13","17.11","12.32",-4.17,"-","-","16-Oct-2024"
"NPBET","Nifty Private Bank Index","258.70","258.70","251.60","252.00","254.00","-","2.00","0.79","1,049","0.03","252.12","299.00","228.03",-4.72,"16-Nov-2023","7.93","16-Oct-2024"
"TOP100CASE","Zerodha Nifty 100 ETF","10.73","10.73","10.00","10.07","10.15","-","0.08","0.79","3,29,188","0.33","10.04","11.99","10.00",-6.15,"-","-","16-Oct-2024"
"MOM100","Nifty Midcap 100","57.99","58.50","57.61","57.65","58.10","-","0.45","0.78","3,08,512","1.79","57.57","66.45","43.10",-9.06,"16-Nov-2023","30.41","16-Oct-2024"
"AUTOIETF","Nifty Auto Index","23.40","23.55","23.16","23.28","23.46","-","0.18","0.77","4,20,756","0.98","23.24","28.36","16.68",-11.55,"-","-","16-Oct-2024"
"MON100","Nasdaq100","176.00","176.00","173.22","173.61","174.92","-","1.31","0.75","4,61,873","8.04","173.32","177.90","123.80",5.87,"16-Nov-2023","37.01","16-Oct-2024"
"AUTOBEES","Nifty Auto TRI","237.79","237.79","231.53","232.92","234.60","-","1.68","0.72","1,06,776","2.50","232.26","285.00","166.55",-11.47,"16-Nov-2023","37.74","16-Oct-2024"
"HDFCSML250","HDFC NIFTY Smallcap 250 ETF","170.32","170.54","168.33","168.33","169.50","-","1.17","0.70","6,13,427","10.40","167.31","189.95","127.81",-8.99,"16-Nov-2023","30.17","16-Oct-2024"
"NIF5GETF","UTI Nifty 5 yr Benchmark G-Sec ETF","58.21","58.60","58.21","58.20","58.60","-","0.40","0.69","133","-","58.64","66.14","53.20",-0.63,"-","-","16-Oct-2024"
"NEXT50","Nifty Next 50","698.53","698.53","681.01","682.42","687.00","-","4.58","0.67","10,801","0.74","682.09","899.00","466.66",-10.94,"16-Nov-2023","45.35","16-Oct-2024"
"NIFTY1","Nifty 50","258.99","258.99","256.00","256.78","258.49","-","1.71","0.67","4,53,514","11.64","256.17","287.68","210.00",-5.39,"-","-","16-Oct-2024"
"ALPHA","NIFTY Alpha 50 Index","50.99","51.51","50.73","50.73","51.05","-","0.32","0.63","11,35,165","5.80","50.59","60.91","36.61",-12.01,"-","-","16-Oct-2024"
