Security Code,Issuer Name,Symbol,Security Name,Status,Group,Face Value,ISIN No,Industry,Market Capitalisation
512595,Manbro Industries Limited,MANBRO,Manbro Industries Ltd,Active,XT,10,INE348N01034,Gems- Jewellery And Watches,46.52
512597,KEYNOTE FINANCIAL SERVICES LIMITED,KEYFINSERV,Keynote Financial Services Ltd,Active,T,10,INE681C01015,Other Financial Services,189.07
512599,Adani Enterprises Ltd.,ADANIENT,ADANI ENTERPRISES LTD.,Active,A,1,INE423A01024,Trading - Minerals,336259.01
512600,ASTAL LABORATORIES LIMITED,ASTALLTD,Astal Laboratories Ltd,Active,XT,10,INE307N01014,Trading & Distributors,95.5
512604,Haria Exports Ltd.,HARIAEXPO,HARIA EXPORTS LTD.-$,Active,XT,10,INE772B01014,Gems- Jewellery And Watches,5.12
512608,Bhandari Hosiery Exports Ltd.,BHANDARI,BHANDARI HOSIERY EXPORTS LTD.,Active,B,1,INE474E01029,Other Textile Products,162.03
512618,RLF Ltd.,RLF,RLF LTD.,Active,X,10,INE629C01014,Other Textile Products,9.95
512624,Regent Enterprises Limited,REGENTRP,Regent Enterprises Ltd,Active,X,10,INE769D01016,Trading & Distributors,19.81
512626,Orbit Exports Ltd.,ORBTEXP,ORBIT EXPORTS LTD.,Active,B,10,INE231G01010,Other Textile Products,475.35
512634,Savera Industries Ltd.,SAVERA,SAVERA INDUSTRIES LTD.,Active,X,10,INE104E01014,Hotels & Resorts,175.16
513005,Chrome Silicon Limited,CHROME,Chrome Silicon Ltd-$,Active,X,10,INE114E01013,Ferro & Silica Manganese,16.82
513012,Jeet Machine Tools Ltd.,ZJEETMAC,JEET MACHINE TOOLS LTD.,Active,X,10,INE987E01012,Trading & Distributors,0.13
513023,NAVA LIMITED,NAVA,Nava Ltd,Active,A,2,INE725A01022,Power Generation,15597.94
513039,Hindusthan Udyog Ltd,ZHINUDYP,HINDUSTHAN UDYOG LTD.,Active,XT,10,INE582K01018,Industrial Products,2.05
513043,Remi Edelstahl Tubulars Limited,REMIEDEL,Remi Edelstahl Tubulars Limited,Active,X,10,INE158G01015,Iron & Steel Products,105.79
513059,G.S. Auto International Ltd.,GSAUTO,G.S.AUTO INTERNATIONAL LTD.,Active,X,5,INE736H01024,Auto Components & Equipments,56.17
513063,Trans-Freight Containers Ltd.,TRANSFRE,TRANS-FREIGHT CONTAINERS LTD.,Active,X,10,INE360D01014,Iron & Steel Products,24.61
513097,Shivalik Bimetal Controls Ltd.,SBCL,SHIVALIK BIMETAL CONTROLS LTD.,Active,A,2,INE386D01027,Iron & Steel Products,3686.67
513108,Gandhi Special Tubes Ltd.,GANDHITUBE,GANDHI SPECIAL TUBES LTD.-$,Active,B,5,INE524B01027,Iron & Steel Products,975.81
513117,Amforge Industries Ltd.,AMFORG,AMFORGE INDUSTRIES LTD.,Active,X,2,INE991A01020,Auto Components & Equipments,15.83
513121,Oricon Enterprises Ltd.,ORICONENT,ORICON ENTERPRISES LTD.-$,Active,B,2,INE730A01022,Packaging,548.57
513149,Acrow (India) Ltd.,ACROW,ACROW INDIA LTD.,Active,X,10,INE950D01012,Iron & Steel Products,46.22
513173,Steel Strips Infrastructures Limited,STLSTRINF,STEEL STRIPS INFRASTRUCTURES LTD.,Active,X,10,INE205F01016,Residential- Commercial Projects,29.38
513228,Pennar Industries Ltd.,PENIND,PENNAR INDUSTRIES LTD.-$,Active,B,5,INE932A01024,Industrial Products,2814.81
513250,Jyoti Structures Ltd.,JYOTISTRUC,JYOTI STRUCTURES LTD.,Active,B,2,INE197A01024,Heavy Electrical Equipment,3327.87
513252,Jay Ushin Ltd.,JAYUSH,JAY USHIN LTD.,Active,X,10,INE289D01015,Auto Components & Equipments,270.92
513262,Steel Strips & Wheels Ltd,SSWL,STEEL STRIPS WHEELS LTD.-$,Active,B,1,INE802C01033,Auto Components & Equipments,3379.47
513269,Man Industries (India) Ltd,MANINDS,MAN INDUSTRIES (INDIA) LTD.-$,Active,B,5,INE993A01026,Iron & Steel Products,2048.87
513295,IMEC SERVICES LIMITED,IMEC,Imec Services Ltd,Active,XT,10,INE611C01020,Consulting Services,5.66
513303,Modern Steels Limited,MDRNSTL,MODERN STEELS LTD.-$,Active,XT,10,INE001F01019,Iron & Steel Products,28.08
513307,Synthiko Foils Ltd.,SYNTHFO,SYNTHIKO FOILS LTD.,Active,XT,5,INE363L01029,Aluminium- Copper & Zinc Products,16.87
513309,Golkonda Aluminium Extrusions Ltd,GOLKONDA,Golkonda Aluminium Extrusions Ltd-$,Active,X,10,INE327C01031,Aluminium,7.56
513337,Gujarat Toolroom Ltd.,GUJTLRM,GUJARAT TOOLROOM LTD.,Active,XT,1,INE145J01032,Plastic Products - Industrial,198.73
513349,Ajmera Realty & Infra India Limited,AJMERA,AJMERA REALTY & INFRA INDIA LTD.,Active,B,10,INE298G01027,Residential- Commercial Projects,3494.22
513353,Cochin Minerals & Rutile Ltd.,COCHINM,COCHIN MINERALS & RUTILE LTD.-$,Active,X,10,INE105D01013,Specialty Chemicals,292.02
513361,India Steel Works Ltd,ISWL,INDIA STEEL WORKS LTD.,Active,XT,1,INE072A01029,Iron & Steel Products,228.9
513369,KRISHANVEER FORGE LIMITED,KVFORGE,Krishanveer Forge Ltd,Active,X,10,INE013J01016,Castings & Forgings,140.19
513375,Carborundum Universal Ltd.,CARBORUNIV,CARBORUNDUM UNIVERSAL LTD.,Active,A,1,INE120A01034,Abrasives & Bearings,26529.1
513377,MMTC Ltd.,MMTC,MMTC LTD.,Active,A,1,INE123F01029,Trading & Distributors,11674.5
513397,Vallabh Steels ltd,VALLABHSQ,VALLABH STEELS LTD.-$,Active,X,10,INE457E01016,Iron & Steel Products,4.64
513401,Ashiana Ispat Limited,ASHIS,ASHIANA ISPAT LTD.,Active,X,10,INE587D01012,Iron & Steel Products,37.43
513403,P.M. Telelinnks Limited,PMTELELIN,P.M.TELELINNKS LTD.,Active,X,10,INE092C01015,Iron & Steel Products,5.77
513418,Smiths & Founders (India) Limited,SMFIL,Smiths & Founders (India) Limited,Active,X,1,INE728B01032,Castings & Forgings,72.93
513422,Bloom Industries Ltd,BLOIN,BLOOM INDUSTRIES LTD.,Active,XT,10,INE373E01015,Iron & Steel Products,28.42
513436,Shah Alloys Limited,SHAHALLOYS,SHAH ALLOYS LTD.,Active,T,10,INE640C01011,Iron & Steel Products,142.94
513452,Elango Industries Ltd,ELANGO,ELANGO INDUSTRIES LTD.,Active,X,10,INE594D01018,Iron & Steel Products,4.9
513456,Kanishk Steel Industries Ltd,KANSHST,KANISHK STEEL INDUSTRIES LTD.,Active,XT,10,INE791E01018,Iron & Steel Products,113.69
513460,Mahalaxmi Seamless Ltd.,MAHALXSE,MAHALAXMI SEAMLESS LTD.-$,Active,Z,10,INE257F01017,Iron & Steel Products,6.05
513472,Simplex Castings Ltd.,SIMPLEXCAS,SIMPLEX CASTINGS LTD.,Active,XT,10,INE658D01011,Other Industrial Products,227.43
513488,Shree Steel Wire Ropes Ltd.,SSWRL,SHREE STEEL WIRE ROPES LTD.,Active,X,10,INE387D01025,Iron & Steel Products,14.11
513496,SIZEMASTERS TECHNOLOGY LIMITED,SIZEMASTER,Sizemasters Technology Ltd,Active,XT,10,INE235U01012,Zinc,154.7
513498,Southern Magnesium And Chemicals Lt,SOUTHMG,SOUTHERN MAGNESIUM & CHEMICALS LTD.,Active,XT,10,INE308N01012,Industrial Minerals,94.8
513502,Baroda Extrusion Ltd.,BAROEXT,BARODA EXTRUSION LTD.,Active,XT,1,INE927K01023,Aluminium- Copper & Zinc Products,149.79
513507,Gujarat Containers Ltd.,GUJCONT,GUJARAT CONTAINERS LTD.,Active,P,10,INE276I01011,Packaging,104.67
513509,Kalyani Forge Ltd.,KALYANIFRG,KALYANI FORGE LTD.,Active,B,10,INE314G01014,Castings & Forgings,169.33
513511,Panchmahal Steel Ltd.,PANCHMAHQ,PANCHMAHAL STEEL LTD.,Active,X,10,INE798F01010,Iron & Steel Products,494.13
513513,Aditya Ispat Ltd.,ADITYA,ADITYA ISPAT LTD.,Active,X,10,INE570B01012,Iron & Steel Products,5.62
513517,Steelcast Ltd.,STEELCAS,STEELCAST LTD.,Active,B,5,INE124E01020,Castings & Forgings,1600.98
513519,PITTI ENGINEERING LIMITED,PITTIENG,Pitti Engineering Ltd-$,Active,B,5,INE450D01021,Industrial Products,4733.84
513528,Glittek Granites Ltd.,GLITTEKG,GLITTEK GRANITES LTD.,Active,X,5,INE741B01027,Other Construction Materials,9.99
513532,Pradeep Metals Ltd.,PRADPME,PRADEEP METALS LTD.,Active,X,10,INE770A01010,Auto Components & Equipments,490.47
513536,Gujarat Natural Resources Limited,GNRL,Gujarat Natural Resources Limited,Active,XT,10,INE207H01018,Oil Exploration & Production,213.47
513540,Tamilnadu Steel Tubes Ltd.,TNSTLTU,TAMILNADU STEEL TUBES LTD.,Active,P,10,INE176E01012,Iron & Steel Products,11.01
513548,Sharda Ispat Ltd.,SHRDAIS,SHARDA ISPAT LTD.,Active,XT,10,INE385M01012,Iron & Steel Products,216.8
513554,Mahamaya Steel Industries Limited,MAHASTEEL,MAHAMAYA STEEL INDUSTRIES LTD.,Active,T,10,INE451L01014,Iron & Steel Products,356.79
513566,Nova Iron & Steel Ltd.,NOVIS,NOVA IRON & STEEL LTD.,Active,X,10,INE608C01026,Iron & Steel Products,80.99
513575,Sterling Powergensys Limited,STERPOW,Sterling Powergensys Limited,Active,XT,10,INE067E01013,Industrial Products,38.68
513599,Hindustan Copper Ltd.,HINDCOPPER,HINDUSTAN COPPER LTD.,Active,A,5,INE531E01026,Copper,28899.51
513629,Tulsyan NEC Ltd,TULSYAN,TULSYAN NEC LTD.-$,Active,X,10,INE463D01016,Iron & Steel Products,129.55
513642,Axel Polymers Ltd.,AXELPOLY,AXEL POLYMERS LTD.,Active,X,10,INE197C01012,Plastic Products - Industrial,51.64
513683,NLC India Limited,NLCINDIA,NLC India Ltd,Active,A,10,INE589A01014,Power Generation,35470.16
513687,Spectra Industries Ltd.,SPECTRA,SPECTRA INDUSTRIES LTD.,Active,Z,10,INE848B01012,Auto Components & Equipments,3.36
513693,KIC Metaliks Ltd.,KAJARIR,KIC METALIKS LTD.,Active,X,2,INE434C01027,Iron & Steel,155.26
513699,Solid Stone Company Ltd.,SOLIDSTON,SOLID STONE COMPANY LTD.,Active,X,10,INE584G01012,Other Construction Materials,18.99
513709,Shilp Gravures Ltd.,SHILGRAVQ,SHILP GRAVURES LTD.-$,Active,X,10,INE960A01017,Aluminium- Copper & Zinc Products,107.62
513713,White Organic Agro Limited,WHITEORG,White Organic Agro Ltd,Active,X,10,INE146C01019,Other Agricultural Products,25.2
513721,MFS Intercorp Limited,MFSINTRCRP,MFS INTERCORP LTD.,Active,Z,10,INE614F01019,Iron & Steel Products,7.74
513729,Aro Granite Industries Ltd.,AROGRANITE,ARO GRANITE INDUSTRIES LTD.-$,Active,B,10,INE210C01013,Granites & Marbles,79.53
514010,RUDRA ECOVATION LIMITED,RUDRAECO,Rudra Ecovation Ltd,Active,X,1,INE723D01021,Other Textile Products,652.33
514028,Rajkamal Synthetics Ltd.,RAJKSYN,RAJKAMAL SYNTHETICS LTD.,Active,XT,10,INE376L01013,Other Textile Products,42.69
514030,Deepak Spinners Ltd.,DEEPAKSP,DEEPAK SPINNERS LTD.-$,Active,X,10,INE272C01013,Other Textile Products,147.38
514036,Loyal Textiles Mills Ltd,LOYALTEX,LOYAL TEXTILE MILLS LTD.-$,Active,B,10,INE970D01010,Other Textile Products,250.46
514043,Himatsingka Seide Ltd.,HIMATSEIDE,HIMATSINGKA SEIDE LTD.,Active,B,5,INE049A01027,Other Textile Products,1976.04
514045,BSL Ltd.,BSL,BSL LTD.,Active,B,10,INE594B01012,Other Textile Products,258.69
514060,MARKOBENZ VENTURES LIMITED,MARKOBENZ,Markobenz Ventures Ltd,Active,XT,10,INE229N01010,Trading & Distributors,22.37
514087,P.B.M. Polytex Ltd.,PBMPOLY,PBM POLYTEX LTD.-$,Active,X,10,INE501F01018,Other Textile Products,58.18
514113,Adinath Textiles Ltd.,ADINATH,ADINATH TEXTILES LTD.,Active,X,10,INE207C01019,Other Textile Products,19.89
514128,Konark Synthetics Ltd,KONARKSY,KONARK SYNTHETIC LTD.,Active,XT,10,INE517D01019,Other Textile Products,16.55
514138,Suryalata Spinning Mills Ltd.,SURYALA,SURYALATA SPINNING MILLS LTD.-$,Active,X,10,INE132C01027,Other Textile Products,145.18
514140,Suryavanshi Spinning Mills Ltd.,SURYVANSP,SURYAVANSHI SPINNING MILLS LTD.-$,Active,X,10,INE431C01023,Other Textile Products,12
514142,T T Ltd,TTL,T T LTD.-$,Active,B,10,INE592B01016,Other Textile Products,352.35
514162,WELSPUN LIVING LIMITED,WELSPUNLIV,Welspun Living Ltd,Active,A,1,INE192B01031,Other Textile Products,14876.46
514165,Indian Acrylics Ltd,INDIANACRY,INDIAN ACRYLICS LTD.,Active,X,10,INE862B01013,Petrochemicals,162.12
514167,Ganesha Ecosphere Limited,GANECOS,GANESHA ECOSPHERE LTD.,Active,B,10,INE845D01014,Other Textile Products,5512.34
514171,Ceeta Industries Ltd.,CEETAIN,CEETA INDUSTRIES LTD.,Active,XT,1,INE760J01012,Packaged Foods,73.09
514175,Vardhman Polytex Ltd.,VARDMNPOLY,VARDHMAN POLYTEX LTD.,Active,T,1,INE835A01029,Other Textile Products,378.04
514183,Black Rose Industries Ltd,BLACKROSE,BLACK ROSE INDUSTRIES LTD.,Active,X,1,INE761G01016,Specialty Chemicals,705.84
514197,S & T Corporation Limited,STCORP,S&T CORPORATION LTD.,Active,XT,2,INE110Q01023,Other Textile Products,35.05
514223,Ramgopal Polytex Ltd,RAMGOPOLY,RAMGOPAL POLYTEX LTD.,Active,X,10,INE410D01017,Trading & Distributors,9.05
514234,Sangam (India) Ltd,SANGAMIND,SANGAM (INDIA) LTD.,Active,B,10,INE495C01010,Other Textile Products,1953.59
514236,TTL ENTERPRISES LIMITED,TTLEL,TTL Enterprises Ltd,Active,XT,10,INE664X01025,Trading & Distributors,
514238,MKVENTURES CAPITAL LIMITED,MKVENTURES,Mkventures Capital Ltd,Active,X,10,INE874A01010,Investment Company,651.46
514240,Kush Industries Limited,KUSHIND,Kush Industries Ltd,Active,XT,10,INE979D01011,Other Textile Products,13.48
514248,Sree chem Resins Ltd,SRECR,SREECHEM RESINS LTD.,Active,P,10,INE377C01010,Commodity Chemicals,29.36
514260,Surbhi Industries Limited,SURBHIN,SURBHI INDUSTRIES LTD.,Active,X,10,INE899E01019,Other Textile Products,2.23
514264,Seasons Textiles Ltd,SEASONST,SEASONS TEXTILES LTD.-$,Active,X,10,INE707B01010,Other Textile Products,14.23
514266,Zenith Fibres Limited,ZENIFIB,ZENITH FIBRES LTD.-$,Active,X,10,INE106C01013,Other Textile Products,31.36
514272,Bhilwara Spinners Ltd,BHILSPIN,BHILWARA SPINNERS LTD.,Active,X,10,INE436C01014,Other Textile Products,129.47
514274,Aarvee Denims & Exports Ltd.,AARVEEDEN,AARVEE DENIMS & EXPORTS LTD.,Active,T,10,INE273D01019,Other Textile Products,131.89
514280,Sanrhea Technical Textiles Ltd.,SANTETX,SANRHEA TECHNICAL TEXTILES LTD.,Active,XT,10,INE589J01015,Other Textile Products,81.55
